Time, Type, Data
18/09/2016 17:16:04.478,TX,02-23-00-00-03
18/09/2016 17:16:04.532,RX,02-21-20-9F-E0-07-09-12-8F-63-B4-03-00-02-18-60-80-01-06-18-60-80-01-06-18-60-80-01-06-18-20-80-00-02-08-3A-03
18/09/2016 17:16:04.650,RX,02-22-58-7F-E0-07-09-12-93-66-B4-03-0D-36-D8-60-83-0E-3E-08-61-84-11-46-18-61-84-11-4A-38-A1-85-1A-76-D8-E1-86-16-46-C8-20-82-05-0A-E8-DF-7E-F9-E5-A7-5F-7F-00-12-88-E0-82-0E-3E-08-21-84-10-3E-E8-A0-83-0E-3A-F8-E0-83-0F-3E-08-61-84-11-46-28-A1-84-12-46-08-E1-83-0D-32-A8-20-0E-03
18/09/2016 17:16:04.869,RX,02-22-58-80-E0-07-09-12-8F-67-B4-03-09-22-78-E0-81-06-16-48-A0-80-01-FE-E7-5F-7F-FE-F9-F7-1F-80-00-0A-38-20-81-06-22-A8-20-83-0D-36-D8-20-83-0B-26-88-E0-81-06-16-58-20-81-03-06-08-20-80-00-02-18-A0-80-04-16-58-60-81-04-0E-38-A0-80-01-06-08-20-80-FF-F9-D7-5F-7F-FE-01-58-20-AC-03
18/09/2016 17:16:05.055,RX,02-20-35-20-E0-07-09-12-4F-69-B4-03-58-00-98-00-00-80-E8-FF-01-00-04-00-31-10-03-00-7C-06-A4-01-A0-FF-A7-FF-20-00-27-00-15-00-1E-00-00-00-FF-FF-00-00-00-00-01-00-5A-80-26-03
18/09/2016 17:16:05.172,RX,02-22-58-81-E0-07-09-12-8B-68-B4-03-0B-42-18-E1-83-08-FE-57-9F-7B-EB-B5-17-9F-7D-FB-F5-B7-5F-7D-ED-95-17-9E-78-E9-CD-D7-1F-81-05-0A-C8-9F-7D-F2-C5-17-1F-7C-EE-B1-97-1E-7A-E8-A9-C7-1E-7C-F4-E9-07-A0-81-0B-46-68-E1-86-1F-8E-58-E2-89-27-9E-58-A2-88-1E-6A-68-E1-84-11-42-F8-20-0A-03-02-24-2D-2F-E0-07-09-12-F7-65-B4-03-37-03-37-03-E6-FC-E6-FC-E6-FC-E6-FC-E6-FC-C2-01-C2-01-C2-01-C2-01-C2-01-C2-01-C2-01-C2-01-C2-01-91-FE-91-FE-7C-03
18/09/2016 17:16:05.359,RX,02-22-58-82-E0-07-09-12-87-69-B4-03-0F-36-B8-A0-82-09-22-88-60-82-09-26-98-20-82-08-1E-68-60-81-04-0E-28-60-80-00-FA-C7-DF-7E-FA-E9-B7-1F-7F-FE-FD-07-20-80-02-0E-48-E0-80-00-F6-97-5F-7D-F1-B9-C7-DE-7A-EC-BD-37-9F-7D-F9-ED-C7-1F-7F-FC-ED-B7-9F-7E-FB-ED-C7-1F-7F-FD-F5-D7-1F-D7-03
18/09/2016 17:16:05.494,TX,02-23-00-00-03
18/09/2016 17:16:05.547,RX,02-21-20-A0-E0-07-09-12-7F-67-B4-03-00-02-08-20-80-00-02-08-20-80-00-02-08-20-80-00-FE-F7-DF-7F-FF-FD-07-87-03
18/09/2016 17:16:05.665,RX,02-22-58-83-E0-07-09-12-83-6A-B4-03-FC-F1-D7-9F-7F-00-02-08-20-80-FF-F5-B7-9F-7E-F9-E5-87-1F-7E-F7-D9-57-DF-7C-F2-C5-07-DF-7B-EF-BD-F7-DE-7B-EF-B9-E7-9E-7B-EF-BD-07-1F-7C-F0-C1-F7-9E-7B-ED-B1-C7-1E-7B-EC-B5-D7-1E-7B-EB-A9-97-5E-7A-E9-A9-B7-DE-7A-EB-AD-B7-9E-7A-EA-AD-B7-1E-D9-03
18/09/2016 17:16:05.884,RX,02-22-58-84-E0-07-09-12-7F-6B-B4-03-EC-B5-D7-9E-7B-EE-B9-E7-9E-7B-EE-BD-F7-1E-7C-EF-BD-E7-9E-7B-EF-C9-77-DF-7E-FE-ED-57-1F-7B-E1-61-37-5D-74-D3-61-D7-9D-78-E4-89-D7-DD-75-D4-4D-77-5D-77-E5-AD-07-9F-7C-F1-B9-A7-9E-79-E2-81-F7-9D-77-DE-75-C7-1D-77-DE-85-57-9E-7A-F0-D9-D7-1F-B2-03
18/09/2016 17:16:06.070,RX,02-20-35-21-E0-07-09-12-37-6D-B4-03-59-00-98-00-00-80-E8-FF-01-00-03-00-31-10-02-00-7C-06-90-01-A0-FF-A5-FF-20-00-27-00-15-00-1C-00-00-00-FF-FF-00-00-00-00-01-00-5A-80-04-03
